leiden,C000000001291
nieuwkoop,C000000001292
utrecht,C000000001293
leeuwarden,C000000001294
gouda,C000000001295
amsterdam,C000000001296
dordrecht,C000000001297
delft,C000000001298
franeker,C000000001299
antwerpen,C000000001300
somersham,C000000001301
antwerpen,C000000001302
dordrecht,C000000001303
engeland,C000000001304
groningen,C000000001305
ieper,C000000001306
middelburg,C000000001307
hamelen,C000000001308
delft,C000000001309
arnhem,C000000001310
parijs,C000000001311
warmond,C000000001312
scherpenzeel,C000000001313
twello,C000000001314
sandwich,C000000001315
calenbach, kalenbach,C000000001316
vilvoorde,C000000001317
geneve,C000000001318
denemarken,C000000001319
gent,C000000001320
luneburg,C000000001321
munster,C000000001322
maassluis,C000000001323
saumur,C000000001324
dedier,C000000001325
oegstgeest,C000000001326
lillo,C000000001327
rostock,C000000001328
ingelvaert,C000000001329
gorkum,C000000001330
rotterdam,C000000001331
stettin,C000000001332
keulen,C000000001333
leuven,C000000001334
luik,C000000001335
aberdeen,C000000001336
languedoc,C000000001337
hoorn,C000000001338
halle,C000000001339
egmond op den hoef,C000000001340
harderwijk,C000000001341
franeker,C000000001342
zoeterwoude,C000000001343
hasebroek,C000000001344
leeuwarden,C000000001345
basel,C000000001346
zevenhuizen,C000000001347
franeker,C000000001348
kassel,C000000001349
nieuwpoort,C000000001350
alkmaar,C000000001351
rouaan,C000000001352
copenhage,C000000001353
zierikzee,C000000001354
leeuwarden,C000000001355
harderwijk,C000000001356
wittenberg,C000000001357
zevenhuizen,C000000001358
schiedam,C000000001359
hoek,C000000001360
brussel,C000000001361
rotterdam,C000000001362
berlijn,C000000001363
sevilla,C000000001364
noordwijk,C000000001365
valenciennes,C000000001366
edinburgh,C000000001367
leiderdorp,C000000001368
choor,C000000001369
den bosch,C000000001370
monfoort,C000000001371
goes,C000000001372
hongarije,C000000001373
oostwoud,C000000001374
hoge zwaluwe,C000000001375
oldenburg,C000000001376
straatsburg,C000000001377
snarenberg,C000000001378
schoonhoven,C000000001379
enkhuizen,C000000001380
turnhout,C000000001381
leicester,C000000001382
deventer,C000000001383
franeker,C000000001384
middelburg,C000000001385
westerhuizen,C000000001386
amsterdam,C000000001387
leiden,C000000001388
ossenbrugge,C000000001389
osnabruck,C000000001390
woerden,C000000001391
den haag,C000000001392
hamburg,C000000001393
leiden,C000000001394
